"","File","OBJECTID","NAME","SHORTNAME","degx","degy","region","T_eventSD_endcen","T_eventSD_historic","T_eventSD_midcen","pH_eventSD_endcen","pH_eventSD_historic","pH_eventSD_midcen","DO_eventSD_endcen","DO_eventSD_historic","DO_eventSD_midcen","T_seasonalSD_endcen","T_seasonalSD_historic","T_seasonalSD_midcen","pH_seasonalSD_endcen","pH_seasonalSD_historic","pH_seasonalSD_midcen","DO_seasonalSD_endcen","DO_seasonalSD_historic","DO_seasonalSD_midcen","Temp_mean_endcen","Temp_mean_historic","Temp_mean_midcen","Temp_low10_endcen","Temp_low10_historic","Temp_low10_midcen","Temp_high10_endcen","Temp_high10_historic","Temp_high10_midcen","DO_mean_endcen","DO_mean_historic","DO_mean_midcen","DO_low10_endcen","DO_low10_historic","DO_low10_midcen","DO_high10_endcen","DO_high10_historic","DO_high10_midcen","pH_mean_endcen","pH_mean_historic","pH_mean_midcen","pH_low10_endcen","pH_low10_historic","pH_low10_midcen","pH_high10_endcen","pH_high10_historic","pH_high10_midcen"
"1","tphdo_mpa_1",1,"Ano Nuevo SMR","Año Nuevo",-122.31915,37.10009,"centralca",1.18775081983805,1.01055626826091,1.04222798903626,0.0717657130670111,0.0651322714596396,0.067905503131008,0.879190338849046,0.877767055709519,0.885289221981509,0.942937894399681,1.04198551975006,1.06668395026459,0.0633528305993362,0.0599196079812876,0.0723387284101149,0.707050922479776,0.720814839560601,0.823173063925202,16.045479876161,13.6631749226006,14.3104510108865,14.065,11.89,12.43,18.11,15.42,16.366,6.23357428173375,6.39837800848297,6.19525631614308,4.69422396,5.0718098,4.646865736,7.45092058,7.69411146,7.499878744,7.56579256965944,7.83787306501548,7.71505443234837,7.438,7.7325,7.593,7.671,7.936,7.8198
"2","tphdo_mpa_10",10,"Begg Rock SMR","Begg Rock",-119.69552,33.36239,"channel",0.892109266367933,0.756964420137848,0.880675283971172,0.0407295367329828,0.0250490553081218,0.0345632254659847,0.340409329740026,0.30902758915807,0.355924557732614,1.18747431349564,1.42414520676662,1.22829410199958,0.0151254137817264,0.0183519395859629,0.0214593374282529,0.162078162200694,0.211242464232635,0.227177620554871,18.8194556765163,16.5040124416796,17.2502021772939,17.072,14.822,15.558,20.53,18.126,19.01,7.29692573293935,7.64569772348367,7.47563629387247,6.813184496,7.09733384,6.922620392,7.720670464,8.053457984,7.919703,7.69508242612753,7.97201555209953,7.85587091757387,7.64,7.932,7.803,7.751,8.007,7.903
"3","tphdo_mpa_100",100,"Skunk Point SMR","Skunk Point",-119.9728,33.96914,"channel",0.956626258604632,0.727533227022646,0.836575467600902,0.0372775648305266,0.0218600651941064,0.0319255410796854,0.287038986368714,0.266331316804469,0.290994630140398,1.13303872736469,1.43950399107696,1.25132315539475,0.00932073909120868,0.0118237537545513,0.0116174063541698,0.0777521704744183,0.0616710826215413,0.0857810894244264,18.5695800933126,16.188738317757,16.957231726283,16.74,14.442,15.18,20.148,17.66,18.436,7.41669977934681,7.786783374081,7.60758779962675,7.021816672,7.447080724,7.179890744,7.748829408,8.08929664,7.960021488,7.6932068429238,7.9716214953271,7.85522706065319,7.6502,7.939,7.813,7.737,8.002,7.897
"4","tphdo_mpa_101",101,"Soquel Canyon SMCA","Soquel Canyon",-121.99349,36.82551,"centralca",0.938288831711307,0.782207992213114,0.902012285001203,0.0505686620449984,0.0390365470263425,0.0443687554334764,0.506521927933767,0.463324577851686,0.506894458081442,0.938033931126696,1.11886315240362,1.04108682455255,0.0422415041388214,0.0394787355763161,0.0476496443950296,0.401422201022312,0.399649261896493,0.466845243183231,16.7773052959502,14.4475507020281,15.2051638065523,14.94,12.81,13.37,18.34,15.86,17.02,6.92844297738318,7.23552272948518,7.04121363569423,6.169688628,6.52135544,6.21096708,7.631073824,7.9037036,7.75010936,7.62267601246106,7.89890171606864,7.77870358814353,7.552,7.834,7.707,7.6919,7.954,7.842
"5","tphdo_mpa_102",102,"South Cape Mendocino SMR","South Cape Mendocino",-124.46433,40.42511,"norca",1.02190512217704,0.902685762340327,1.01779165172656,0.0669962750965729,0.0640839172048194,0.0645310320485661,0.864126060225928,0.816766679174637,0.854633819138346,0.932731903700377,0.916183167585404,1.05271489781687,0.121006907965729,0.126957142121595,0.128454698988573,1.36931923156844,1.47438435707914,1.42532568632165,13.6644583987441,11.2141894409938,12.004778125,11.986,9.6459,10.279,15.274,12.807,13.64,4.66630864893564,5.12304216442857,5.05271501608125,3.531387568,3.984810564,3.7758584,6.0317738,6.572233532,6.636871108,7.42706593406593,7.71554347826087,7.603625,7.343,7.6353,7.506,7.531,7.835,7.722
"6","tphdo_mpa_103",103,"South La Jolla SMCA","South La Jolla",-117.32807,32.81335,"socal",0.941793569132277,0.816532410987818,0.974825976095815,0.0308399289218888,0.0169301376247763,0.0240778952019946,0.225300835215619,0.185612303204939,0.189793357650086,1.08331182080431,1.55217314793339,1.32063908170876,0.0106391512640173,0.0106304965383877,0.0120797770580112,0.106016606390632,0.138441402404524,0.099828182616768,20.0416744186047,17.8254773082942,18.5779379844961,18.49,16.108,16.86,21.678,19.434,20.292,8.01651301289922,8.28582635906103,8.18575441804651,7.79490768,8.04129844,7.959381512,8.264010088,8.544959552,8.401604928,7.73043100775194,7.99807511737089,7.8889023255814,7.6944,7.975,7.8564,7.768,8.0182,7.919
"7","tphdo_mpa_104",104,"South La Jolla SMR","South La Jolla",-117.2929,32.81142,"socal",1.03347391514095,0.882718842564837,1.05462494125444,0.0335110116313536,0.0194685007726525,0.027206445919726,0.27415667486252,0.239975359142138,0.266066057037698,0.974151542809781,1.44562318018018,1.22572738407364,0.00908037773314011,0.00978007508246172,0.0099499261600337,0.161238994589338,0.231586422086488,0.164974934255403,19.7343701399689,17.5349845679012,18.18078125,18.22,15.914,16.4,21.258,19.07,19.95,8.08891842712286,8.31804361722222,8.2066872376875,7.81730684,7.991380312,7.9037036,8.39328524,8.6236766,8.483201868,7.73075427682737,7.99621913580247,7.885371875,7.6932,7.9747,7.853,7.772,8.018,7.919
"8","tphdo_mpa_105",105,"South Point FMR","South Point",-120.14648,33.84538,"channel",0.963903503594298,0.746415957719929,0.919900093213824,0.0399044341512384,0.0258478323748205,0.0360086550904345,0.309606638341619,0.293106528164464,0.294320949443816,1.03323977794686,1.30240594817176,1.14268716807946,0.0159383685102191,0.0190108204840193,0.0206695238528427,0.127236463708163,0.142863608269821,0.168029849319228,18.1672153846154,15.7438569206843,16.558746130031,16.31,13.942,14.81,19.772,17.27,18.21,7.34234126726154,7.69704012155521,7.50477366879257,6.879742,7.238768536,7.05253552,7.73091008,8.07009736,7.91650312,7.68471076923077,7.96181181959565,7.84398452012384,7.6309,7.919,7.79,7.738,8,7.893
"9","tphdo_mpa_106",106,"South Point SMR","South Point",-120.13848,33.87678,"channel",1.04643712443511,0.810420957143417,0.888889231743661,0.0448664928497507,0.0330564424227159,0.0391406552511913,0.405968452033647,0.402109391396744,0.374516627592124,0.980960244986574,1.23285078758381,1.09248355256179,0.0197455218887399,0.0253463239661575,0.0250317388528703,0.179310546009473,0.237749237254291,0.233342122862205,17.7215217391304,15.3297503900156,16.0646058732612,15.793,13.51,14.32,19.407,16.88,17.85,7.19890021745342,7.48806364886115,7.29614184037094,6.622471648,6.84454332,6.660870208,7.7117108,8.0156994,7.837786072,7.66771739130435,7.94490639625585,7.82396908809892,7.605,7.891,7.76,7.7287,7.99,7.8804
"10","tphdo_mpa_107",107,"Southeast Farallon Island SMCA","Southeast Farallon Island",-123.03854,37.67669,"norca",1.10101521581338,0.864309527115739,0.945951849409429,0.0563322115969423,0.0491994326660115,0.0519921446610793,0.564871548012583,0.507075231921778,0.536816638402036,1.03129812064277,1.08449814364253,1.09335616492937,0.0421169306290611,0.0481055588145032,0.0526285958597959,0.39672104088167,0.476380817513986,0.489916655783434,16.2988372093023,13.7025352112676,14.4061682242991,14.258,11.976,12.49,18.256,15.492,16.419,6.90335165724031,7.1759537398435,6.99283931632399,6.119450512,6.47015736,6.167128724,7.634273704,7.860185232,7.749789372,7.61763100775194,7.88348356807512,7.76371028037383,7.5394,7.8088,7.6791,7.691,7.95,7.841
